zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
C,Tm,0,0,6,4,0,740,683
C,Yb,0,0,6,4,0,660,604
C,Lu,0,0,5,3,0,590,538
C,Hf,0,0,5,3,0,525,479
C,Ta,0,0,4,3,0,469,426
C,W,0,0,4,2,0,420,381
C,Re,0,0,3,2,0,376,340
C,Os,0,0,3,2,0,338,305
C,Ir,0,0,3,2,0,304,273
C,Pt,0,0,3,2,0,274,246
C,Au,0,0,2,1,0,247,221
C,Hg,0,0,2,1,0,224,199
C,Tl,0,0,2,1,0,202,180
C,Pb,0,0,2,1,0,183,162
C,Bi,0,0,2,1,0,166,147
C,Po,0,0,2,1,0,0,0
C,At,0,0,2,1,0,0,0
C,Rn,0,0,1,1,0,0,0
C,Fr,0,0,1,1,0,0,0
C,Ra,0,0,1,1,0,0,0
C,Ac,0,0,1,1,0,0,0
C,Th,0,0,1,1,0,88,76
C,Pa,0,0,1,0,0,80,69
C,U,0,0,1,0,0,74,63
N,H,0,0,0,0,0,0,0
N,He,0,0,0,0,0,0,0
N,Li,0,0,0,0,0,0,0
N,Be,38178,0,0,0,0,0,0
N,B,10118,0,0,0,0,0,0
N,C,3757,0,0,0,0,0,0
N,N,1553,0,0,0,0,0,0
N,O,16433,0,0,0,0,0,0
N,F,8823,0,0,0,0,0,0
N,Ne,4973,0,0,0,0,0,0
N,Na,2917,2705,0,0,0,0,0
N,Mg,1766,1593,0,0,0,0,0
N,Al,1101,968,0,0,0,0,0
N,Si,706,605,0,0,0,0,0
N,P,463,388,0,0,0,0,0
N,S,311,256,0,0,0,0,0
N,Cl,213,172,0,0,0,0,0
N,Ar,149,118,0,0,0,0,0
N,K,106,83,0,0,0,0,0
N,Ca,76,59,2227,2227,0,0,0
N,Sc,56,43,1523,1474,0,0,0
N,Ti,42,32,23471,22752,0,0,0
N,V,31,24,17534,16893,0,0,0
N,Cr,24,18,13300,12751,0,0,0
N,Mn,19,14,10261,9799,0,0,0
N,Fe,14,11,7974,7590,0,0,0
N,Co,11,8,6260,5962,0,0,0
N,Ni,9,7,4928,4683,0,0,0
N,Cu,7,5,3926,3714,0,0,0
N,Zn,6,4,3144,2962,0,0,0
N,Ga,5,3,2530,2370,0,0,0
N,Ge,4,3,2046,1908,0,0,0
N,As,3,2,1662,1543,0,0,0
N,Se,3,2,1359,1255,0,0,0
N,Br,2,2,1116,1024,0,0,0
N,Kr,2,1,919,840,0,0,0
N,Rb,2,1,762,692,0,0,0
N,Sr,1,1,633,572,0,0,0
N,Y,1,1,529,475,0,0,0
N,Zr,1,1,445,396,0,0,0
N,Nb,1,1,374,332,0,0,0
N,Mo,1,0,317,279,0,0,0
N,Tc,1,0,269,235,0,0,0
N,Ru,1,0,229,199,0,0,0
N,Rh,0,0,196,169,0,0,0
N,Pd,0,0,168,144,0,0,0
N,Ag,0,0,145,123,0,0,0
N,Cd,0,0,125,105,0,0,0
N,In,0,0,108,91,0,0,0
N,Sn,0,0,94,78,0,0,0
N,Sb,0,0,82,68,0,0,0
N,Te,0,0,72,59,0,0,0
N,I,0,0,63,51,0,0,0
